Jahr;Quartal;BIP Mrd. EUR
2000;1. Quartal;519,98
2000;2. Quartal;524,39
2000;3. Quartal;537,7
2000;4. Quartal;547,59
2001;1. Quartal;536,83
2001;2. Quartal;538,24
2001;3. Quartal;553,54
2001;4. Quartal;566,92
2002;1. Quartal;537,18
2002;2. Quartal;546,09
2002;3. Quartal;567,13
2002;4. Quartal;572,96
2003;1. Quartal;543,46
2003;2. Quartal;547,96
2003;3. Quartal;571,48
2003;4. Quartal;577,91
2004;1. Quartal;558,36
2004;2. Quartal;566,57
2004;3. Quartal;579,23
2004;4. Quartal;588,88
2005;1. Quartal;560,71
2005;2. Quartal;576,06
2005;3. Quartal;589,03
2005;4. Quartal;599,91
2006;1. Quartal;586,21
2006;2. Quartal;594,16
2006;3. Quartal;612,83
2006;4. Quartal;632,98
2007;1. Quartal;621,55
2007;2. Quartal;622,79
2007;3. Quartal;641,64
2007;4. Quartal;656,24
2008;1. Quartal;639,61
2008;2. Quartal;646,56
2008;3. Quartal;653,19
2008;4. Quartal;650,32
2009;1. Quartal;607,62
2009;2. Quartal;608,29
2009;3. Quartal;631,06
2009;4. Quartal;647,9
2010;1. Quartal;630,08
2010;2. Quartal;639,31
2010;3. Quartal;665,21
2010;4. Quartal;681,46
2011;1. Quartal;674,48
2011;2. Quartal;673,94
2011;3. Quartal;695,28
2011;4. Quartal;704,11
2012;1. Quartal;694,72
2012;2. Quartal;685,51
2012;3. Quartal;706,28
2012;4. Quartal;713,87
2013;1. Quartal;698,16
2013;2. Quartal;706,31
2013;3. Quartal;728,23
2013;4. Quartal;734,58
2014;1. Quartal;733,12
2014;2. Quartal;731,02
2014;3. Quartal;754,31
2014;4. Quartal;766,72
2015;1. Quartal;754,18
2015;2. Quartal;755,84
2015;3. Quartal;780,07
2015;4. Quartal;795,56
2016;1. Quartal;782,08
2016;2. Quartal;792,91
2016;3. Quartal;803,38
2016;4. Quartal;817,74
2017;1. Quartal;819,42
2017;2. Quartal;815,14
2017;3. Quartal;838,76
2017;4. Quartal;857,79
2018;1. Quartal;845,44
2018;2. Quartal;847,26
2018;3. Quartal;856,91
2018;4. Quartal;881,52
2019;1. Quartal;873,09
2019;2. Quartal;865,82
2019;3. Quartal;891,83
2019;4. Quartal;904,14
2020;1. Quartal;881,22
2020;2. Quartal;794,87
2020;3. Quartal;871,24
2020;4. Quartal;902,29
2021;1. Quartal;885,32
2021;2. Quartal;895,5
2021;3. Quartal;931,31
2021;4. Quartal;964,33
2022;1. Quartal;963,76
2022;2. Quartal;967,07
2022;3. Quartal;995,32
2022;4. Quartal;1027,7
2023;1. Quartal;1034,14
2023;2. Quartal;1024,06
2023;3. Quartal;1048,71
2023;4. Quartal;1078,64
2024;1. Quartal;1064,83
2024;2. Quartal;1060,79
2024;3. Quartal;1078,22
2024;4. Quartal;1101,42
