Datum;DAX
01.1975;10000
02.1975;10933.393037053622
03.1975;11179.894772192993
04.1975;11543.042650845184
05.1975;10748.460763461324
06.1975;10861.748572707937
07.1975;11907.757752154932
08.1975;11261.39035038621
09.1975;11007.50027986119
10.1975;11961.714989365275
11.1975;12571.364603156835
12.1975;12610.545169595882
01.1976;12806.224112840033
02.1976;12712.862420239564
03.1976;13068.398074555022
04.1976;12252.32284786746
05.1976;12143.28892869137
06.1976;12142.393372887049
07.1976;11956.78943244151
08.1976;11871.93551998209
09.1976;11890.070525019593
10.1976;10912.571364603158
11.1976;11407.14205753946
12.1976;11396.39538788761
01.1977;11468.935408037614
02.1977;11109.145863651629
03.1977;11412.963170267549
04.1977;12357.326765924105
05.1977;12087.540579872384
06.1977;11751.035486398747
07.1977;11873.502742639652
08.1977;12110.82279189522
09.1977;12118.43725512146
10.1977;12409.045113623642
11.1977;12482.25680062689
12.1977;12299.115638643234
01.1978;12300.682861300795
02.1978;12379.71566103213
03.1978;12308.295085637525
04.1978;11913.578864883018
05.1978;12214.037837232734
06.1978;12381.50677264077
07.1978;13033.4713981865
08.1978;13055.188626441286
09.1978;13394.828165230047
10.1978;13110.936975260272
11.1978;13026.754729654092
12.1978;12876.973021381396
01.1979;12989.365274823687
02.1979;12625.545729318259
03.1979;12425.612896003582
04.1979;12419.791783275496
05.1979;11777.678271577299
06.1979;11475.428187618942
07.1979;11910.220530616814
08.1979;12044.330012313892
09.1979;11992.611664614353
10.1979;11336.393148998097
11.1979;11388.78316355088
12.1979;11144.968095824472
01.1980;11284.003134445316
02.1980;11675.361020933618
03.1980;10639.426844285235
04.1980;11106.683085189747
05.1980;11228.92645247957
06.1980;11542.14709504086
07.1980;11747.003246389791
08.1980;11453.039292510915
09.1980;11390.57427515952
10.1980;10964.961379155939
11.1980;11089.891413858726
12.1980;10767.267435352065
01.1981;10487.406246501736
02.1981;10597.335721482146
03.1981;10830.85189745886
04.1981;11427.068174185604
05.1981;11148.102541139595
06.1981;11947.60998544722
07.1981;12150.22948617486
08.1981;11940.893316914811
09.1981;11088.548080152244
10.1981;11111.608642113511
11.1981;11397.51483264301
12.1981;10979.290272025077
01.1982;11241.464233740066
02.1982;11540.803761334379
03.1982;11769.170491436249
04.1982;11601.925444979292
05.1982;11467.815963282213
06.1982;11219.07533863204
07.1982;11384.753162431434
