Jahr;Monat;Land;Ausfuhr: Gewicht in t;t;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%);Ausfuhr: Wert Tsd. EUR;Tsd. EUR;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%);Ausfuhr Wert Tsd. US $;Tsd. US $;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%);Einfuhr: Gewicht t;t;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%);Einfuhr Weert Tsd. EUR;Tsd. EUR;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%);Einfuhr: Wert Tsd. US $;Tsd. US $;Veränderung zum Vorjahresmonat (%);Veränderung zum Vorjahresmonat (%)
2000;Januar;Vereinigte Staaten von Amerika;695756,2;e;.;;4040020;e;.;;-;;.;;858430,8;e;.;;3250132;e;.;;-;;.;
2000;Februar;Vereinigte Staaten von Amerika;895496,8;e;.;;4948739;e;.;;-;;.;;622114,1;e;.;;3255753;e;.;;-;;.;
2000;März;Vereinigte Staaten von Amerika;903695,2;e;.;;5606604;e;.;;-;;.;;918986,9;e;.;;4270195;e;.;;-;;.;
2000;April;Vereinigte Staaten von Amerika;681745,4;e;.;;4344320;e;.;;-;;.;;606669;e;.;;3588842;e;.;;-;;.;
2000;Mai;Vereinigte Staaten von Amerika;883898,8;e;.;;5586358;e;.;;-;;.;;641981,3;e;.;;4305312;e;.;;-;;.;
2000;Juni;Vereinigte Staaten von Amerika;759375,1;e;.;;5026624;e;.;;-;;.;;505320,2;e;.;;3888266;e;.;;-;;.;
2000;Juli;Vereinigte Staaten von Amerika;781064;e;.;;5461652;e;.;;-;;.;;430997,1;e;.;;3723843;e;.;;-;;.;
2000;August;Vereinigte Staaten von Amerika;774564,6;e;.;;5049749;e;.;;-;;.;;564844,1;e;.;;3908902;e;.;;-;;.;
2000;September;Vereinigte Staaten von Amerika;704453,1;e;.;;4772196;e;.;;-;;.;;902068,5;e;.;;3589631;e;.;;-;;.;
2000;Oktober;Vereinigte Staaten von Amerika;788479,2;e;.;;5939670;e;.;;-;;.;;647298,9;e;.;;4339252;e;.;;-;;.;
2000;November;Vereinigte Staaten von Amerika;700953,9;e;.;;5867017;e;.;;-;;.;;1008633,1;e;.;;4536170;e;.;;-;;.;
2000;Dezember;Vereinigte Staaten von Amerika;658575,7;e;.;;5121270;e;.;;-;;.;;693576,8;e;.;;4464781;e;.;;-;;.;
2001;Januar;Vereinigte Staaten von Amerika;907710,8;e;30,5;e;6048509;e;49,7;e;-;;.;;775374,5;e;-9,7;e;4267549;e;31,3;e;-;;.;
