value_Outgoing,Ausfuhr Wert Tsd. US $,Einfuhr: Gewicht t,Einfuhr Weert Tsd. EUR,Einfuhr: Wert Tsd. US $,Date,Monthly_Avg_Exchange_Rate,BIP Mrd. EUR,DAX,Monate_seit_start
4040020,-,"858430,8",3250132,-,2000-01-01,1.0136952380952382,519.98,153041.53,0
4948739,-,"622114,1",3255753,-,2000-02-01,0.9834238095238096,519.98,171153.03,1
5606604,-,"918986,9",4270195,-,2000-03-01,0.9643434782608695,519.98,170141.95,2
4344320,-,606669,3588842,-,2000-04-01,0.9469500000000001,524.39,166006.49,3
5586358,-,"641981,3",4305312,-,2000-05-01,0.9059681818181818,524.39,159177.66,4
5026624,-,"505320,2",3888266,-,2000-06-01,0.9491772727272728,524.39,154443.3,5
5461652,-,"430997,1",3723843,-,2000-07-01,0.9396571428571429,537.7,160984.44,6
5049749,-,"564844,1",3908902,-,2000-08-01,0.9040565217391304,537.7,161568.34,7
4772196,-,"902068,5",3589631,-,2000-09-01,0.8721142857142856,537.7,152202.4,8
5939670,-,"647298,9",4339252,-,2000-10-01,0.8551590909090909,547.59,158456.06,9
5867017,-,"1008633,1",4536170,-,2000-11-01,0.8563863636363636,547.59,142669.43,10
5121270,-,"693576,8",4464781,-,2000-12-01,0.8973157894736842,547.59,144041.42,11
6048509,-,"775374,5",4267549,-,2001-01-01,0.9382818181818181,536.83,152135.68,12
5331693,-,"813545,7",4056760,-,2001-02-01,0.921705,536.83,138995.63,13
6015533,-,"784960,3",4320625,-,2001-03-01,0.9095227272727272,536.83,130526.14,14
5542167,-,"664974,8",3867897,-,2001-04-01,0.892,538.24,140255.46,15
5852842,-,"650204,9",4192473,-,2001-05-01,0.8741636363636364,538.24,136244.04,16
5832832,4976530,"675752,8",4073879,3475733,2001-06-01,0.8531666666666666,538.24,135640.43,17
6354791,5469544,"365189,8",3838799,3304027,2001-07-01,0.8606636363636363,553.54,131225.57,18
5548342,4996257,"579654,1",3840649,3458477,2001-08-01,0.9004826086956521,553.54,116157.39,19
5043564,4595183,"310048,1",3041141,2770664,2001-09-01,0.9110950000000001,553.54,96454.72,20
6144007,5565831,"435701,3",3671972,3326417,2001-10-01,0.9058652173913044,566.92,102073.88,21
5294627,4703244,"741485,9",3742579,3324468,2001-11-01,0.8883090909090909,566.92,111718.57,22
4815021,4296888,"702041,7",3067389,2737229,2001-12-01,0.8923722222222222,566.92,115528.94,23
5372056,4745116,"955899,2",3106380,2743791,2002-01-01,0.8832863636363637,537.18,114353.74,24
5404533,4701926,"609392,7",3221088,2802274,2002-02-01,0.870035,537.18,112819.43,25
5947969,5209225,"688846,1",3559671,3117529,2002-03-01,0.8757999999999999,537.18,120839.36,26
